customer_id,name,email,country,created_at
2.0,Cherise gronou,cgronou1tumblr,Brazil,24/5/2025
5.0,filide     Wincott, fwincott4@samsung.com,Russia ,14/12/2026
12.0,Dill Dommersen,ddommersenb@foxnews,Japan,9/3/2026
24.0,Zolly     Jore,nan,Thailand,8/9/2026
25.0,Liuka Oldroyde,loldroydeo@goo.gl ,Ecuador,29/9/2025
28.0,Jane Browning,jbrowningrnbcnews.com,Mongolia,26/8/2025
61.0,Adela Sworder,asworder1ospotify.com,Brazil,7/8/2025
67.0,Hasty Sedgwick,hse@dgwick1u@earthlink.net,Indonesia,25/5/2026
76.0,Erich Hasell,ehasell23@who,China,16/4/2026
91.0,Guinevere Glennie,nan,Bulgaria,5/7/2026
102.0,Trixy Maccrae,nan,Guatemala,29/5/2026
119.0,Joseph Harness,nan,Norway,nan
122.0,Walden Cowling,wcowling3dmapy.cz,Poland,3/2/2026
152.0,Alic Yglesias,nan,Peru,12/1/2026
184.0,Sarene Ahrend,nan,South Africa,14/1/2026
204.0,Vere Hanigan,vhanigan5n@mayoclinic,Indonesia,24/11/2026
228.0,Bobette De Mattei,nan,China,16/7/2026
294.0,Shamus Pettegre,nan,China,3/9/2026
406.0,Crin Twyford,nan,Ukraine,7/7/2025
499.0,Shaylah Estabrook,nan,Argentina,9/7/2026
582.0,Bertram Well,nan,China,2/6/2025
755.0,Elle McGenis,nan,Philippines,10/1/2026
841.0,Jacquie Pinchin,nan,Dominican Republic,8/6/2026
915.0,Rubin Woolfitt,nan,Papua New Guinea,4/6/2026
