customer_id,name,email,country,created_at,rejection_reasons
2.0,Cherise gronou,cgronou1tumblr,Brazil,24/5/2025,invalid_email
5.0,filide     Wincott, fwincott4@samsung.com,Russia ,14/12/2026,"invalid_email, invalid_date"
,Arlin Parsonson,aparsonson7@weather.com,South Africa,12/1/2026,"missing_values, duplicate_customer_id"
11.0,,khabberghama@dot.gov,Germany,8/10/2026,"missing_values, invalid_date"
12.0,Dill Dommersen,ddommersenb@foxnews,Japan,9/3/2026,invalid_email
,Cindie Aingell,caingellc@reverbnation.com,Sweden,17/1/2027,"missing_values, invalid_date, duplicate_customer_id"
14.0,Colline Arnao,carnaod@rambler.ru,Luxembourg,27/9/2026,invalid_date
15.0,Berte McDugal,bmcdugale@cam.Ac.uk,Philippines,27/1/2027,invalid_date
18.0,Atlanta Lefeaver,alefeaverh@free.fr,Colombia,11/11/2026,invalid_date
21.0,Geoff Acton,gactonk@hubpages.com,Norway,22/8/2026,duplicate_customer_id
22.0, Boyd Van Rembrandt,bvanl@desdev.cn,Ukraine,3/5/2025,duplicate_customer_id
,Dur McQuade,dmcquadem@imgur.com,Panama,12/12/2026,"missing_values, invalid_date, duplicate_customer_id"
24.0,Zolly     Jore,,Thailand,8/9/2026,"missing_values, invalid_email, duplicate_customer_id"
25.0,Liuka Oldroyde,loldroydeo@goo.gl ,Ecuador,29/9/2025,invalid_email
26.0,Alexa Beach,abeachp@biblegateway.com,Brazil,,"missing_values, invalid_date"
27.0,Glynnis Philipeaux,gphilipeauxq@ebay.co.uk,Bulgaria,30/12/2026,invalid_date
28.0,Jane Browning,jbrowningrnbcnews.com,Mongolia,26/8/2025,invalid_email
43.0,Bartlet Yakovliv,byakovliv16@t-online.de,China,23/9/2026,invalid_date
, Sharlene Danigel,sdanigel17@google.ca,Morocco,1/1/2026,"missing_values, duplicate_customer_id"
46.0,,ylampet19@intel.com,Czech Republic,31/12/2026,"missing_values, invalid_date"
47.0,Tawsha Stratford,tstratford1a@mapquest.com,China,1/1/2027,invalid_date
49.0,barney Josephson,bjosephson1c@examiner.com,China,30/9/2026,invalid_date
138.0,Arny Koenraad,akoenraad3t@toplist.cz,Jordan,6/4/2026,duplicate_customer_id
54.0,Sydel macGovern,smacgovern1h@g.co,China,29/1/2027,invalid_date
56.0,Saundra Grishanin,sgrishanin1j@discuz.net,Portugal,7/1/2027,invalid_date
57.0,Reggi Bim,rbim1k@unblog.fr,Bulgaria,12/11/2026,invalid_date
61.0,Adela Sworder,asworder1ospotify.com,Brazil,7/8/2025,invalid_email
62.0,Gianna Neilson,gneilson1p@unicef.org,Indonesia,18/10/2026,invalid_date
67.0,Hasty Sedgwick,hsE@dgwick1u@earthlink.net,Indonesia,25/5/2026,invalid_email
68.0,Barnabas Pestricke,bpestricke1v@omniture.com,Ireland,10/10/2026,invalid_date
74.0,Constancy Hirtz,chirtz21@arstechnica.com,Iran,10/1/2027,invalid_date
76.0,Erich Hasell,ehasell23@who,China,16/4/2026,invalid_email
80.0,Bride Filipczynski,bfilipczynski27@springer.com,France,23/9/2026,invalid_date
83.0,Estelle Wedmore,ewedmore2a@addthis.com,Russia,13/11/2026,invalid_date
85.0,Jason Addison,jaddison2c@google.fr,Mexico,21/9/2026,invalid_date
87.0,Hanson Sedgefield,hsedgefield2e@tmall.com,Paraguay,11/12/2026,invalid_date
89.0,Whitaker Cuddon,wcuddon2g@joomla.org,Albania,20/11/2026,invalid_date
91.0,Guinevere Glennie,,Bulgaria,5/7/2026,"missing_values, invalid_email"
21.0,Geoff Acton,gactonk@hubpages.com,Norway,22/8/2026,duplicate_customer_id
22.0, Boyd Van Rembrandt,bvanl@desdev.cn,Ukraine,3/5/2025,duplicate_customer_id
,Dur McQuade,dmcquadem@imgur.com,Panama,12/12/2026,"missing_values, invalid_date, duplicate_customer_id"
24.0,Zolly     Jore,,Thailand,8/9/2026,"missing_values, invalid_email, duplicate_customer_id"
100.0,Baird Kavanagh,bkavanagh2r@ihg.com,Poland,9/1/2027,invalid_date
102.0,Trixy Maccrae,,Guatemala,29/5/2026,"missing_values, invalid_email"
103.0,Tabatha Dillet,tdillet2u@japanpost.jp,China,2/11/2026,invalid_date
108.0,Vicki Nucciotti,vnucciotti2z@fastcompany.com,Brazil,16/9/2026,invalid_date
113.0,Rosabella Diehn,rdiehn34@pen.io,Mexico,21/8/2025,duplicate_customer_id
119.0,Joseph Harness,,Norway,,"missing_values, invalid_email, invalid_date"
122.0,Walden Cowling,wcowling3dmapy.cz,Poland,3/2/2026,invalid_email
124.0,Jade Danat,jdanat3f@constantcontact.com,Brazil,16/11/2026,invalid_date
126.0,Jordain Rimes,jrimes3h@sbwire.com,Russia,1/10/2026,invalid_date
138.0,Arny Koenraad,akoenraad3t@toplist.cz,Jordan,6/4/2026,duplicate_customer_id
113.0,Rosabella Diehn,rdiehn34@pen.io,Mexico,21/8/2025,duplicate_customer_id
150.0,Honey Preuvost,hpreuvost45@ow.ly,Israel,30/12/2026,invalid_date
152.0,Alic Yglesias,,Peru,12/1/2026,"missing_values, invalid_email"
156.0,Denys Mart,dmart4b@so-net.ne.jp,Madagascar,11/12/2026,invalid_date
,Erie Revel,erevel4d@gravatar.com,San Marino,4/12/2026,"missing_values, invalid_date, duplicate_customer_id"
160.0,Obed Antonikov,oantonikov4f@51.la,Serbia,20/11/2026,invalid_date
161.0,,kstogill4g@webmd.com,China,5/11/2026,"missing_values, invalid_date"
168.0,Kailey Trevett,ktrevett4n@princeton.edu,Russia,19/12/2026,invalid_date
170.0,Matt Ferraraccio,mferraraccio4p@github.io,Indonesia,4/1/2027,invalid_date
176.0,Myrtle Falls,mfalls4v@tripod.com,Ukraine,6/10/2026,invalid_date
180.0,Natty Tainton,ntainton4z@facebook.com,,6/5/2026,missing_values
,Martguerita Folshom,mfolshom50@bing.com,Colombia,11/11/2026,"missing_values, invalid_date, duplicate_customer_id"
182.0,Claire Pendreigh,cpendreigh51@networksolutions.com,Portugal,28/10/2026,invalid_date
183.0,Gussie Vasilov,gvasilov52@technorati.com,Portugal,21/11/2026,invalid_date
184.0,Sarene Ahrend,,South Africa,14/1/2026,"missing_values, invalid_email"
185.0,Regen Slany,rslany54@weebly.com,China,25/9/2026,invalid_date
186.0,Keane Scotchbourouge,kscotchbourouge55@g.co,Egypt,,"missing_values, invalid_date"
191.0,Hyacintha Latta,hlatta5a@elpais.com,China,23/11/2026,invalid_date
199.0,Kathleen Twelftree,ktwelftree5i@smugmug.com,Netherlands,9/10/2026,invalid_date
